,Unnamed: 0,Unnamed: 0.1,REGISTO,listing_url,first_review,LATITUDE,LONGITUDE,bigOwner
3589,3589,4112,80976.0,https://www.airbnb.com/rooms/30954977,2019-02-26,41.14522,-8.614268,True
3590,3590,4674,89653.0,https://www.airbnb.com/rooms/32562587,2019-02-28,41.1534017,-8.6046734,False
3591,3591,4807,91853.0,https://www.airbnb.com/rooms/29918735,2019-02-28,41.1510218,-8.6048632,False
3592,3592,4271,83335.0,https://www.airbnb.com/rooms/28853558,2019-02-28,,,True
3593,3593,4374,84425.0,https://www.airbnb.com/rooms/30732434,2019-01-03,41.1452566,-8.612666599999999,True
3594,3594,3998,79435.0,https://www.airbnb.com/rooms/32517412,2019-01-03,41.1516672,-8.605004300000001,True
3595,3595,4988,95282.0,https://www.airbnb.com/rooms/32195716,2019-02-03,41.1442878,-8.6082294,True
3596,3596,4436,85174.0,https://www.airbnb.com/rooms/32306413,2019-03-03,41.1488451,-8.6151819,True
3597,3597,4372,84411.0,https://www.airbnb.com/rooms/31976230,2019-03-03,41.1488088,-8.6093947,True
3598,3598,2768,61811.0,https://www.airbnb.com/rooms/32687157,2019-03-03,41.1532817,-8.6721261,True
3599,3599,4500,86256.0,https://www.airbnb.com/rooms/32083469,2019-03-03,41.14999990000001,-8.674845300000001,True
3600,3600,4759,91004.0,https://www.airbnb.com/rooms/32402374,2019-03-03,41.14426829999999,-8.6052219,False
3601,3601,4771,91362.0,https://www.airbnb.com/rooms/32303686,2019-03-03,41.1502867,-8.5950348,True
3602,3602,2235,553.0,https://www.airbnb.com/rooms/26255772,2019-03-03,,,True
3603,3603,4736,90679.0,https://www.airbnb.com/rooms/31658278,2019-04-03,41.1487841,-8.58843,False
3604,3604,4731,90619.0,https://www.airbnb.com/rooms/29979222,2019-04-03,41.1423956,-8.5989954,False
3605,3605,4777,91448.0,https://www.airbnb.com/rooms/32158960,2019-04-03,41.1442695,-8.6129058,True
3606,3606,4826,92188.0,https://www.airbnb.com/rooms/31884202,2019-04-03,41.14199779999999,-8.6076239,False
3607,3607,4754,90956.0,https://www.airbnb.com/rooms/32120878,2019-04-03,41.1570611,-8.612318400000001,False
3608,3608,3597,73971.0,https://www.airbnb.com/rooms/31457975,2019-04-03,41.1427625,-8.615836900000001,True
3609,3609,3944,78710.0,https://www.airbnb.com/rooms/31161683,2019-04-03,41.1461779,-8.6066391,False
3610,3610,4243,82840.0,https://www.airbnb.com/rooms/30077414,2019-04-03,41.1497201,-8.602055499999999,True
3611,3611,4758,90961.0,https://www.airbnb.com/rooms/32040085,2019-05-03,41.1536175,-8.605312300000001,True
3612,3612,4885,93307.0,https://www.airbnb.com/rooms/32484002,2019-05-03,41.1476947,-8.5989954,True
3613,3613,3237,68200.0,https://www.airbnb.com/rooms/24170860,2019-05-03,41.166743,-8.6802875,True
3614,3614,4621,88946.0,https://www.airbnb.com/rooms/32102020,2019-05-03,41.1433026,-8.609858000000001,True
3615,3615,4504,86293.0,https://www.airbnb.com/rooms/32688713,2019-06-03,41.1445166,-8.5995347,False
3616,3616,4824,92111.0,https://www.airbnb.com/rooms/32517131,2019-06-03,41.1431786,-8.6067278,True
3617,3617,4694,90035.0,https://www.airbnb.com/rooms/31148603,2019-07-03,41.1553658,-8.6192554,False
3618,3618,4649,89323.0,https://www.airbnb.com/rooms/30903328,2019-07-03,,,False
3619,3619,4823,92061.0,https://www.airbnb.com/rooms/32629922,2019-07-03,41.1557857,-8.618219900000001,True
3620,3620,4772,914002.0,https://www.airbnb.com/rooms/32606915,2019-08-03,,,True
3621,3621,1909,52961.0,https://www.airbnb.com/rooms/32789496,2019-09-03,41.1537091,-8.6113132,True
3622,3622,4642,89235.0,https://www.airbnb.com/rooms/31057284,2019-10-03,41.1525004,-8.6121331,True
3623,3623,2716,61046.0,https://www.airbnb.com/rooms/32781869,2019-10-03,41.1572626,-8.591167500000001,True
3624,3624,1484,48318.0,https://www.airbnb.com/rooms/30172238,2019-10-03,41.1594149,-8.5909295,True
3625,3625,4330,83958.0,https://www.airbnb.com/rooms/32622913,2019-10-03,41.1469988,-8.6087957,True
3626,3626,3643,74592.0,https://www.airbnb.com/rooms/32466418,2019-10-03,41.1631304,-8.633929,True
3627,3627,1741,50831.0,https://www.airbnb.com/rooms/19774792,2019-10-03,41.1522793,-8.6163362,True
3628,3628,5089,97515.0,https://www.airbnb.com/rooms/32395979,2019-10-03,41.1622196,-8.6113127,True
3629,3629,4194,82196.0,https://www.airbnb.com/rooms/32629701,2019-11-03,41.1418691,-8.6132901,True
3630,3630,2823,6269.0,https://www.airbnb.com/rooms/31532900,2019-11-03,41.1438215,-8.617266599999999,True
3631,3631,4358,84289.0,https://www.airbnb.com/rooms/32688810,2019-11-03,41.1485287,-8.615035,True
3632,3632,4761,91077.0,https://www.airbnb.com/rooms/32712659,2019-11-03,41.1429515,-8.6137181,True
3633,3633,4821,92034.0,https://www.airbnb.com/rooms/31432245,2019-12-03,41.1426226,-8.6191114,True
3634,3634,3948,78724.0,https://www.airbnb.com/rooms/32788191,2019-12-03,41.1528748,-8.6231315,True
3635,3635,2046,54354.0,https://www.airbnb.com/rooms/32487525,2019-03-13,41.1477738,-8.6152785,True
3636,3636,4645,89282.0,https://www.airbnb.com/rooms/31797763,2019-03-14,41.1431998,-8.6100559,False
3637,3637,4659,89526.0,https://www.airbnb.com/rooms/31650325,2019-03-15,41.1431998,-8.6100559,False
3638,3638,4291,83472.0,https://www.airbnb.com/rooms/31181934,2019-03-15,,,True
3639,3639,4048,79915.0,https://www.airbnb.com/rooms/30174459,2019-03-16,41.1446403,-8.602883,False
3640,3640,4551,87110.0,https://www.airbnb.com/rooms/32789834,2019-03-16,41.14426829999999,-8.6052219,True
3641,3641,4816,91992.0,https://www.airbnb.com/rooms/32693768,2019-03-16,41.1522718,-8.611944699999999,True
3642,3642,4800,91714.0,https://www.airbnb.com/rooms/31681973,2019-03-16,41.1628099,-8.6129538,True
3643,3643,4838,92585.0,https://www.airbnb.com/rooms/32949720,2019-03-17,41.1511466,-8.600826199999998,True
3644,3644,2550,59236.0,https://www.airbnb.com/rooms/32926884,2019-03-17,41.1560475,-8.6182246,True
3645,3645,3813,76807.0,https://www.airbnb.com/rooms/25964005,2019-03-17,41.14670870000001,-8.6032913,True
3646,3646,4088,80580.0,https://www.airbnb.com/rooms/33047239,2019-03-17,41.163192,-8.6109523,True
3647,3647,3213,67889.0,https://www.airbnb.com/rooms/32710659,2019-03-17,41.1449001,-8.609729,True
3648,3648,866,37068.0,https://www.airbnb.com/rooms/32420697,2019-03-17,41.1496999,-8.615869199999999,False
3649,3649,4792,91673.0,https://www.airbnb.com/rooms/32889744,2019-03-17,41.1426146,-8.604270699999999,False
3650,3650,4764,91135.0,https://www.airbnb.com/rooms/32896546,2019-03-17,41.1460506,-8.6038832,True
3651,3651,2843,6298.0,https://www.airbnb.com/rooms/23898015,2019-03-17,,,True
