,REGISTO,listing_url,price,LATITUDE,LONGITUDE
6,10845,https://www.airbnb.com/rooms/5843271,$50.00,41.1444074,-8.6028621
4724,90430,https://www.airbnb.com/rooms/5965858,$61.00,41.1512994,-8.611895599999999
3425,7133,https://www.airbnb.com/rooms/5975414,$60.00,41.153107,-8.60483
20,11254,https://www.airbnb.com/rooms/5535020,$65.00,41.14281980000001,-8.604915499999999
339,24177,https://www.airbnb.com/rooms/6025752,$190.00,41.157131,-8.602122999999999
1475,48302,https://www.airbnb.com/rooms/4058828,$120.00,,
73,14519,https://www.airbnb.com/rooms/5946303,$65.00,41.143316399999996,-8.6130914
72,14517,https://www.airbnb.com/rooms/5650189,$65.00,41.143316399999996,-8.6130914
2451,58047,https://www.airbnb.com/rooms/6063023,$98.00,41.1485932,-8.620402699999998
3145,6701,https://www.airbnb.com/rooms/6027245,$87.00,41.153118,-8.604869699999998
